date,system,signals,stake_u,unit_eur,stake_eur,profit_eur,bankroll,peak_eur,dd_eur,dd_pct,risk_mode,vinto,equity_u
2025-01-01 12:30:00,HT,4,3.5,3.0,10.5,4.2,154.2,154.2,0.0,0.0,normal,True,1.4000000000000001
2025-01-04 12:30:00,HT,4,3.5,3.0,10.5,-10.5,143.7,154.2,-10.5,-6.809338521400779,normal,False,-2.0999999999999996
2025-01-04 14:00:00,HT,3,3.0,2.8739999999999997,8.622,3.4488000000000003,147.1488,154.2,-7.051199999999994,-4.572762645914394,normal,True,-0.8999999999999995
2025-01-04 14:30:00,HT,2,1.2,2.942976,3.5315711999999997,1.41262848,148.56142848,154.2,-5.638571519999999,-3.6566611673151748,normal,True,-0.4199999999999995
2025-01-04 15:00:00,O15,2,3.0,2.9712285695999996,8.9136857088,3.1197899980799995,151.68121847807998,154.2,-2.5187815219200047,-1.6334510518287968,normal,True,0.6300000000000003
2025-01-04 17:00:00,HT,3,3.0,3.0,9.0,3.6,155.28121847807998,155.28121847807998,0.0,0.0,normal,True,1.8300000000000005
2025-01-04 18:00:00,HT,4,3.5,3.0,10.5,4.2,159.48121847807997,159.48121847807997,0.0,0.0,normal,True,3.2300000000000004
2025-01-04 19:45:00,HT,3,3.0,3.0,9.0,-9.0,150.48121847807997,159.48121847807997,-9.0,-5.643297741192649,normal,False,0.23000000000000043
2025-01-05 12:00:00,O25,2,1.0,3.0,3.0,2.4000000000000004,152.88121847807997,159.48121847807997,-6.599999999999994,-4.1384183435412725,normal,True,1.0300000000000005
2025-01-05 14:00:00,HT,2,1.2,3.0,3.5999999999999996,1.44,154.32121847807997,159.48121847807997,-5.159999999999997,-3.23549070495045,normal,True,1.5100000000000005
2025-01-09 20:00:00,O25,2,1.0,3.0,3.0,-3.0,151.32121847807997,159.48121847807997,-8.159999999999997,-5.1165899520146665,normal,False,0.5100000000000005
2025-01-11 12:45:00,HT,3,3.0,3.0,9.0,3.6,154.92121847807996,159.48121847807997,-4.560000000000002,-2.85927085553761,normal,True,1.7100000000000006
2025-01-11 14:30:00,O25,2,1.0,3.0,3.0,-3.0,151.92121847807996,159.48121847807997,-7.560000000000002,-4.740370102601826,normal,False,0.7100000000000006
2025-01-11 14:30:00,O25,3,0.48,3.0,1.44,1.152,153.07321847807995,159.48121847807997,-6.4080000000000155,-4.018027991729175,normal,True,1.0940000000000007
2025-01-11 17:30:00,HT,4,3.5,3.0,10.5,-10.5,142.57321847807995,159.48121847807997,-16.908000000000015,-10.601875356453933,normal,False,-2.4059999999999993
2025-01-11 17:45:00,O15,2,3.0,2.851464369561599,6.4157948315135975,2.245528191029759,144.81874666910971,159.48121847807997,-14.662471808970253,-9.193854893318079,reduce_25,True,-1.3559999999999994
2025-01-11 18:30:00,O15,2,3.0,2.8963749333821944,8.689124800146583,3.041193680051304,147.859940349161,159.48121847807997,-11.62127812891896,-7.286925846077766,normal,True,-0.3059999999999996
2025-01-11 20:00:00,O15,2,3.0,2.9571988069832202,8.871596420949661,3.1050587473323814,150.9649990964934,159.48121847807997,-8.51621938158658,-5.339951288845401,normal,True,0.7440000000000002
2025-01-11 23:00:00,O25,3,0.48,3.0,1.44,1.152,152.11699909649337,159.48121847807997,-7.364219381586594,-4.61760917797275,normal,True,1.1280000000000001
2025-01-12 01:05:00,O25,2,0.4,3.0,1.2000000000000002,-1.2000000000000002,150.91699909649338,159.48121847807997,-8.564219381586582,-5.370048876798429,normal,False,0.7280000000000001
2025-01-12 13:00:00,HT,2,1.2,3.0,3.5999999999999996,1.44,152.35699909649338,159.48121847807997,-7.124219381586585,-4.467121238207607,normal,True,1.2080000000000002
2025-01-12 15:15:00,O25,2,0.4,3.0,1.2000000000000002,-1.2000000000000002,151.1569990964934,159.48121847807997,-8.324219381586573,-5.219560937033287,normal,False,0.8080000000000002
2025-01-12 17:30:00,O25,2,0.4,3.0,1.2000000000000002,0.9600000000000002,152.1169990964934,159.48121847807997,-7.364219381586565,-4.617609177972732,normal,True,1.1280000000000001
2025-01-14 19:30:00,HT,2,1.2,3.0,3.5999999999999996,1.44,153.5569990964934,159.48121847807997,-5.924219381586568,-3.7146815393819095,normal,True,1.608
2025-01-14 19:30:00,O25,2,0.4,3.0,1.2000000000000002,0.9600000000000002,154.5169990964934,159.48121847807997,-4.96421938158656,-3.112729780321356,normal,True,1.9280000000000002
2025-01-14 19:30:00,O25,2,0.4,3.0,1.2000000000000002,-1.2000000000000002,153.31699909649342,159.48121847807997,-6.164219381586548,-3.865169479147035,normal,False,1.528
2025-01-14 19:45:00,HT,2,1.2,3.0,3.5999999999999996,-3.5999999999999996,149.71699909649342,159.48121847807997,-9.764219381586543,-6.122488575624091,normal,False,0.32800000000000007
2025-01-15 19:30:00,O25,4,1.4000000000000001,2.9943399819298686,4.192075974701816,3.3536607797614533,153.07065987625487,159.48121847807997,-6.410558601825102,-4.019632319718077,normal,True,1.4480000000000002
2025-01-15 19:30:00,O25,3,0.48,3.0,1.44,1.152,154.22265987625485,159.48121847807997,-5.258558601825115,-3.297290208845427,normal,True,1.8320000000000003
2025-01-17 15:00:00,O25,2,0.4,3.0,1.2000000000000002,0.9600000000000002,155.18265987625486,159.48121847807997,-4.298558601825107,-2.695338449784873,normal,True,2.152
2025-01-17 17:30:00,O25,2,0.4,3.0,1.2000000000000002,0.9600000000000002,156.14265987625487,159.48121847807997,-3.338558601825099,-2.093386690724319,normal,True,2.4720000000000004
2025-01-17 18:00:00,O15,2,3.0,3.0,9.0,3.15,159.29265987625487,159.48121847807997,-0.18855860182509332,-0.11823248130688813,normal,True,3.5220000000000002
2025-01-17 19:30:00,HT,4,3.5,3.0,10.5,4.2,163.49265987625486,163.49265987625486,0.0,0.0,normal,True,4.922000000000001
2025-01-17 20:15:00,HT,5,3.5,3.0,10.5,4.2,167.69265987625485,167.69265987625485,0.0,0.0,normal,True,6.322000000000001
2025-01-18 01:00:00,O15,2,3.0,3.0,9.0,3.15,170.84265987625486,170.84265987625486,0.0,0.0,normal,True,7.372000000000001
2025-01-18 14:00:00,O15,2,3.0,3.0,9.0,3.15,173.99265987625486,173.99265987625486,0.0,0.0,normal,True,8.422
2025-01-18 14:30:00,O25,2,0.4,3.0,1.2000000000000002,0.9600000000000002,174.95265987625487,174.95265987625487,0.0,0.0,normal,True,8.742
2025-01-18 15:00:00,HT,4,3.5,3.0,10.5,4.2,179.15265987625486,179.15265987625486,0.0,0.0,normal,True,10.142000000000001
2025-01-18 15:00:00,O25,2,1.0,3.0,3.0,-3.0,176.15265987625486,179.15265987625486,-3.0,-1.674549516636914,normal,False,9.142000000000001
2025-01-18 15:00:00,HT,2,1.2,3.0,3.5999999999999996,-3.5999999999999996,172.55265987625486,179.15265987625486,-6.599999999999994,-3.6840089366012077,normal,False,7.942000000000001
2025-01-18 17:30:00,O25,3,1.2,3.0,3.5999999999999996,2.88,175.43265987625486,179.15265987625486,-3.719999999999999,-2.0764414006297724,normal,True,8.902000000000001
2025-01-18 17:45:00,O15,2,3.0,3.0,9.0,-9.0,166.43265987625486,179.15265987625486,-12.719999999999999,-7.100089950540514,normal,False,5.902000000000001
2025-01-18 18:00:00,HT,4,3.5,3.0,10.5,4.2,170.63265987625485,179.15265987625486,-8.52000000000001,-4.7557206272488415,normal,True,7.302000000000001
