profit,max_dd,trades,winrate,score,calmar,patterns,combo,n_patterns,matches
315.47499999999997,-27.224999999999568,370,0.8945945945945946,299.1400000000002,11.587695133149861,"('0-0', 'Push', 'Carry', 'Rise', 'Chain', 'Momentum')",0-0 + Push + Carry + Rise + Chain + Momentum,6,370
279.37499999999994,-28.92499999999967,326,0.8987730061349694,262.02000000000015,9.65859982713926,"('0-0', 'Push', 'Carry', 'Rise', 'Momentum')",0-0 + Push + Carry + Rise + Momentum,5,326
263.2,-24.62499999999983,304,0.8980263157894737,248.4250000000001,10.688324873096521,"('0-0', 'Push', 'Carry', 'Chain', 'Momentum')",0-0 + Push + Carry + Chain + Momentum,5,304
230.82499999999993,-15.949999999999989,285,0.9017543859649123,221.25499999999994,14.471786833855806,"('0-0', 'Push', 'Carry', 'Rise', 'Chain')",0-0 + Push + Carry + Rise + Chain,5,285
229.92499999999995,-15.949999999999989,286,0.8986013986013986,220.35499999999996,14.415360501567406,"('0-0', 'Push', 'Rise', 'Chain', 'Momentum')",0-0 + Push + Rise + Chain + Momentum,5,286
219.49999999999997,-26.24999999999983,265,0.8943396226415095,203.75000000000009,8.361904761904816,"('0-0', 'Push', 'Carry', 'Momentum')",0-0 + Push + Carry + Momentum,4,265
203.79499999999996,-23.054999999999865,274,0.8722627737226277,189.96200000000005,8.83951420516162,"('0-0', 'Carry', 'Rise', 'Chain', 'Momentum')",0-0 + Carry + Rise + Chain + Momentum,5,274
190.175,-20.299999999999784,240,0.9083333333333333,177.99500000000015,9.368226600985322,"('0-0', 'Push', 'Carry', 'Rise')",0-0 + Push + Carry + Rise,4,240
187.875,-19.94999999999976,241,0.9045643153526971,175.90500000000014,9.41729323308282,"('0-0', 'Push', 'Rise', 'Momentum')",0-0 + Push + Rise + Momentum,4,241
185.82499999999996,-35.15999999999994,251,0.8804780876494024,164.72899999999998,5.285125142207061,"('Push', 'Carry', 'Rise', 'Chain', 'Momentum')",Push + Carry + Rise + Chain + Momentum,5,251
171.25,-12.949999999999989,221,0.9049773755656109,163.48000000000002,13.223938223938235,"('0-0', 'Push', 'Rise', 'Chain')",0-0 + Push + Rise + Chain,4,221
167.12499999999997,-15.499999999999943,214,0.9158878504672897,157.82500000000002,10.782258064516167,"('0-0', 'Push', 'Carry', 'Chain')",0-0 + Push + Carry + Chain,4,214
166.075,-14.449999999999875,211,0.9146919431279621,157.40500000000006,11.493079584775185,"('0-0', 'Push', 'Chain', 'Momentum')",0-0 + Push + Chain + Momentum,4,211
164.62999999999997,-23.789999999999964,212,0.8867924528301887,150.356,6.920134510298454,"('0-0', 'Carry', 'Chain', 'Momentum')",0-0 + Carry + Chain + Momentum,4,212
161.17499999999995,-32.72499999999994,230,0.8739130434782608,141.54,4.92513368983958,"('0-0', 'Carry', 'Rise', 'Momentum')",0-0 + Carry + Rise + Momentum,4,230
159.21999999999997,-37.62999999999994,214,0.883177570093458,136.642,4.231198511825677,"('Push', 'Carry', 'Rise', 'Momentum')",Push + Carry + Rise + Momentum,4,214
132.34999999999997,-13.500000000000014,173,0.9132947976878613,124.24999999999996,9.803703703703691,"('0-0', 'Push', 'Rise')",0-0 + Push + Rise,3,173
138.905,-26.200000000000017,190,0.8789473684210526,123.18499999999999,5.301717557251905,"('Push', 'Carry', 'Chain', 'Momentum')",Push + Carry + Chain + Momentum,4,190
123.07499999999996,-17.149999999999906,170,0.9117647058823529,112.78500000000001,7.176384839650183,"('0-0', 'Push', 'Momentum')",0-0 + Push + Momentum,3,170
122.37499999999997,-17.600000000000023,174,0.9137931034482759,111.81499999999996,6.953124999999989,"('0-0', 'Push', 'Carry')",0-0 + Push + Carry,3,174
125.19999999999996,-27.42000000000003,173,0.8786127167630058,108.74799999999995,4.5660102115244285,"('0-0', 'Carry', 'Momentum')",0-0 + Carry + Momentum,3,173
114.11999999999998,-12.10500000000006,178,0.8707865168539326,106.85699999999994,9.427509293680249,"('0-0', 'Rise', 'Chain', 'Momentum')",0-0 + Rise + Chain + Momentum,4,178
112.08999999999996,-10.810000000000045,172,0.872093023255814,105.60399999999993,10.369102682701156,"('0-0', 'Carry', 'Rise', 'Chain')",0-0 + Carry + Rise + Chain,4,172
107.29999999999995,-10.549999999999997,151,0.9072847682119205,100.96999999999996,10.170616113744074,"('0-0', 'Push', 'Chain')",0-0 + Push + Chain,3,151
113.85999999999999,-25.87000000000002,163,0.8711656441717791,98.33799999999998,4.401236954000769,"('Push', 'Carry', 'Momentum')",Push + Carry + Momentum,3,163
113.06499999999997,-32.59,186,0.8602150537634409,93.51099999999997,3.469315741024853,"('Carry', 'Rise', 'Chain', 'Momentum')",Carry + Rise + Chain + Momentum,4,186
98.70499999999998,-20.52000000000004,148,0.8851351351351351,86.39299999999996,4.810185185185175,"('Push', 'Carry', 'Rise', 'Chain')",Push + Carry + Rise + Chain,4,148
91.32999999999998,-21.570000000000036,146,0.8767123287671232,78.38799999999996,4.234121464997674,"('Push', 'Rise', 'Chain', 'Momentum')",Push + Rise + Chain + Momentum,4,146
96.38999999999999,-33.99000000000002,165,0.8727272727272727,75.99599999999998,2.8358340688437753,"('Carry', 'Rise', 'Momentum')",Carry + Rise + Momentum,3,165
76.25,-7.800000000000011,106,0.9150943396226415,71.57,9.775641025641011,"('0-0', 'Chain', 'Momentum')",0-0 + Chain + Momentum,3,106
