date,system,stake,profit,equity,peak,dd
2025-01-01 12:30:00,HT,3.5,1.4000000000000001,1.4000000000000001,1.4000000000000001,0.0
2025-01-04 12:30:00,HT,3.5,-3.5,-2.0999999999999996,1.4000000000000001,-3.5
2025-01-04 14:00:00,HT,3.0,1.2000000000000002,-0.8999999999999995,1.4000000000000001,-2.3
2025-01-04 14:30:00,HT,1.2,0.48,-0.4199999999999995,1.4000000000000001,-1.8199999999999996
2025-01-04 17:00:00,HT,3.0,1.2000000000000002,0.7800000000000007,1.4000000000000001,-0.6199999999999994
2025-01-04 18:00:00,HT,3.5,1.4000000000000001,2.1800000000000006,2.1800000000000006,0.0
2025-01-04 19:45:00,HT,3.0,-3.0,-0.8199999999999994,2.1800000000000006,-3.0
2025-01-05 14:00:00,HT,1.2,0.48,-0.3399999999999994,2.1800000000000006,-2.52
2025-01-11 12:45:00,HT,3.0,1.2000000000000002,0.8600000000000008,2.1800000000000006,-1.3199999999999998
2025-01-11 17:30:00,HT,3.5,-3.5,-2.6399999999999992,2.1800000000000006,-4.82
2025-01-12 13:00:00,HT,1.2,0.48,-2.1599999999999993,2.1800000000000006,-4.34
2025-01-14 19:30:00,HT,1.2,0.48,-1.6799999999999993,2.1800000000000006,-3.86
2025-01-14 19:45:00,HT,1.2,-1.2,-2.879999999999999,2.1800000000000006,-5.06
2025-01-17 19:30:00,HT,3.5,1.4000000000000001,-1.4799999999999989,2.1800000000000006,-3.6599999999999993
2025-01-17 20:15:00,HT,3.5,1.4000000000000001,-0.07999999999999874,2.1800000000000006,-2.2599999999999993
2025-01-18 15:00:00,HT,1.2,-1.2,-1.2799999999999987,2.1800000000000006,-3.459999999999999
2025-01-18 15:00:00,HT,3.5,1.4000000000000001,0.12000000000000144,2.1800000000000006,-2.059999999999999
2025-01-18 18:00:00,HT,3.5,1.4000000000000001,1.5200000000000016,2.1800000000000006,-0.659999999999999
2025-01-19 16:15:00,HT,1.2,0.48,2.0000000000000018,2.1800000000000006,-0.17999999999999883
2025-01-19 19:45:00,HT,3.5,1.4000000000000001,3.400000000000002,3.400000000000002,0.0
2025-01-21 19:45:00,HT,3.5,1.4000000000000001,4.8000000000000025,4.8000000000000025,0.0
2025-01-21 19:45:00,HT,3.5,1.4000000000000001,6.200000000000003,6.200000000000003,0.0
2025-01-24 19:30:00,HT,3.5,1.4000000000000001,7.600000000000003,7.600000000000003,0.0
2025-01-24 20:00:00,HT,1.2,-1.2,6.400000000000003,7.600000000000003,-1.2000000000000002
2025-01-25 15:00:00,HT,3.0,1.2000000000000002,7.600000000000003,7.600000000000003,0.0
2025-01-26 16:00:00,HT,1.2,0.48,8.080000000000004,8.080000000000004,0.0
2025-01-26 19:45:00,HT,3.5,1.4000000000000001,9.480000000000004,9.480000000000004,0.0
2025-01-28 19:45:00,HT,3.5,-3.5,5.980000000000004,9.480000000000004,-3.5
2025-01-30 01:00:00,HT,1.2,0.48,6.460000000000004,9.480000000000004,-3.0199999999999996
2025-01-31 19:30:00,HT,3.5,1.4000000000000001,7.860000000000005,9.480000000000004,-1.6199999999999992
2025-01-31 19:30:00,HT,3.5,1.4000000000000001,9.260000000000005,9.480000000000004,-0.21999999999999886
2025-02-01 14:30:00,HT,1.2,0.48,9.740000000000006,9.740000000000006,0.0
2025-02-01 14:30:00,HT,1.2,0.48,10.220000000000006,10.220000000000006,0.0
2025-02-01 14:30:00,HT,3.5,1.4000000000000001,11.620000000000006,11.620000000000006,0.0
2025-02-01 15:00:00,HT,1.2,0.48,12.100000000000007,12.100000000000007,0.0
2025-02-01 16:00:00,HT,3.5,1.4000000000000001,13.500000000000007,13.500000000000007,0.0
2025-02-01 20:05:00,HT,1.2,0.48,13.980000000000008,13.980000000000008,0.0
2025-02-02 11:30:00,HT,3.0,1.2000000000000002,15.180000000000007,15.180000000000007,0.0
2025-02-02 14:00:00,HT,3.5,1.4000000000000001,16.580000000000005,16.580000000000005,0.0
2025-02-02 14:30:00,HT,3.5,-3.5,13.080000000000005,16.580000000000005,-3.5
2025-02-02 19:45:00,HT,3.5,-3.5,9.580000000000005,16.580000000000005,-7.0
2025-02-03 20:45:00,HT,5.5,2.2,11.780000000000005,16.580000000000005,-4.800000000000001
2025-02-08 12:15:00,HT,1.2,0.48,12.260000000000005,16.580000000000005,-4.32
2025-02-08 14:30:00,HT,1.2,0.48,12.740000000000006,16.580000000000005,-3.84
2025-02-08 14:30:00,HT,1.2,-1.2,11.540000000000006,16.580000000000005,-5.039999999999999
2025-02-10 19:45:00,HT,5.5,2.2,13.740000000000006,16.580000000000005,-2.84
2025-02-11 19:45:00,HT,5.5,2.2,15.940000000000005,16.580000000000005,-0.6400000000000006
2025-02-11 19:45:00,HT,5.5,2.2,18.140000000000004,18.140000000000004,0.0
2025-02-12 19:45:00,HT,5.5,2.2,20.340000000000003,20.340000000000003,0.0
2025-02-15 15:00:00,HT,5.5,2.2,22.540000000000003,22.540000000000003,0.0
2025-02-15 15:30:00,HT,5.5,2.2,24.740000000000002,24.740000000000002,0.0
2025-02-15 16:00:00,HT,5.5,2.2,26.94,26.94,0.0
2025-02-15 20:00:00,HT,1.2,0.48,27.42,27.42,0.0
2025-02-15 20:30:00,HT,5.5,2.2,29.62,29.62,0.0
2025-02-16 13:30:00,HT,5.5,2.2,31.82,31.82,0.0
2025-02-16 16:00:00,HT,1.2,0.48,32.3,32.3,0.0
2025-02-17 15:00:00,HT,5.5,2.2,34.5,34.5,0.0
2025-02-22 14:30:00,HT,1.2,0.48,34.98,34.98,0.0
2025-02-22 14:30:00,HT,5.5,2.2,37.18,37.18,0.0
2025-02-22 19:00:00,HT,5.5,2.2,39.38,39.38,0.0
2025-02-23 12:00:00,HT,5.5,2.2,41.580000000000005,41.580000000000005,0.0
2025-02-23 13:15:00,HT,5.5,2.2,43.78000000000001,43.78000000000001,0.0
2025-02-23 14:30:00,HT,5.5,2.2,45.98000000000001,45.98000000000001,0.0
2025-02-24 18:00:00,HT,5.5,2.2,48.180000000000014,48.180000000000014,0.0
2025-02-26 03:00:00,HT,1.2,0.48,48.66000000000001,48.66000000000001,0.0
2025-03-01 14:30:00,HT,5.5,2.2,50.860000000000014,50.860000000000014,0.0
2025-03-01 15:00:00,HT,1.2,0.48,51.34000000000001,51.34000000000001,0.0
2025-03-01 17:30:00,HT,5.5,2.2,53.54000000000001,53.54000000000001,0.0
2025-03-01 23:00:00,HT,1.2,0.48,54.02000000000001,54.02000000000001,0.0
2025-03-02 13:00:00,HT,5.5,2.2,56.22000000000001,56.22000000000001,0.0
2025-03-02 14:00:00,HT,5.5,2.2,58.420000000000016,58.420000000000016,0.0
2025-03-02 14:30:00,HT,5.5,2.2,60.62000000000002,60.62000000000002,0.0
2025-03-03 20:15:00,HT,5.5,2.2,62.82000000000002,62.82000000000002,0.0
2025-03-07 18:00:00,HT,5.5,2.2,65.02000000000002,65.02000000000002,0.0
2025-03-08 12:15:00,HT,1.2,0.48,65.50000000000003,65.50000000000003,0.0
2025-03-08 15:00:00,HT,1.2,0.48,65.98000000000003,65.98000000000003,0.0
2025-03-08 15:00:00,HT,5.5,2.2,68.18000000000004,68.18000000000004,0.0
2025-03-08 15:00:00,HT,5.5,2.2,70.38000000000004,70.38000000000004,0.0
2025-03-08 15:30:00,HT,5.5,-5.5,64.88000000000004,70.38000000000004,-5.5
2025-03-09 11:15:00,HT,5.5,2.2,67.08000000000004,70.38000000000004,-3.299999999999997
2025-03-09 14:00:00,HT,5.5,2.2,69.28000000000004,70.38000000000004,-1.0999999999999943
2025-03-10 15:00:00,HT,5.5,2.2,71.48000000000005,71.48000000000005,0.0
2025-03-10 18:00:00,HT,5.5,2.2,73.68000000000005,73.68000000000005,0.0
2025-03-13 17:45:00,HT,5.5,2.2,75.88000000000005,75.88000000000005,0.0
2025-03-14 17:00:00,HT,1.2,0.48,76.36000000000006,76.36000000000006,0.0
2025-03-14 17:00:00,HT,5.5,2.2,78.56000000000006,78.56000000000006,0.0
2025-03-15 16:30:00,HT,5.5,2.2,80.76000000000006,80.76000000000006,0.0
2025-03-16 12:30:00,HT,1.2,0.48,81.24000000000007,81.24000000000007,0.0
2025-03-16 15:30:00,HT,5.5,2.2,83.44000000000007,83.44000000000007,0.0
2025-03-16 16:00:00,HT,5.5,2.2,85.64000000000007,85.64000000000007,0.0
2025-03-16 16:30:00,HT,5.5,2.2,87.84000000000007,87.84000000000007,0.0
2025-03-16 17:30:00,HT,1.2,0.48,88.32000000000008,88.32000000000008,0.0
2025-03-16 18:30:00,HT,5.5,2.2,90.52000000000008,90.52000000000008,0.0
2025-03-22 15:00:00,HT,5.5,-5.5,85.02000000000008,90.52000000000008,-5.5
2025-03-28 17:00:00,HT,5.5,2.2,87.22000000000008,90.52000000000008,-3.299999999999997
2025-03-29 17:30:00,HT,1.2,0.48,87.70000000000009,90.52000000000008,-2.819999999999993
2025-03-29 20:05:00,HT,5.5,2.2,89.90000000000009,90.52000000000008,-0.6199999999999903
2025-03-30 03:15:00,HT,1.2,0.48,90.3800000000001,90.52000000000008,-0.13999999999998636
2025-03-30 12:00:00,HT,5.5,2.2,92.5800000000001,92.5800000000001,0.0
2025-03-30 12:45:00,HT,5.5,2.2,94.7800000000001,94.7800000000001,0.0
2025-03-30 13:00:00,HT,5.5,-5.5,89.2800000000001,94.7800000000001,-5.5
2025-03-31 01:05:00,HT,1.2,0.48,89.7600000000001,94.7800000000001,-5.019999999999996
2025-04-01 19:00:00,HT,1.2,0.48,90.24000000000011,94.7800000000001,-4.539999999999992
2025-04-05 14:00:00,HT,1.2,-1.2,89.0400000000001,94.7800000000001,-5.739999999999995
2025-04-05 14:00:00,HT,1.2,0.48,89.52000000000011,94.7800000000001,-5.259999999999991
2025-04-05 18:45:00,HT,5.5,2.2,91.72000000000011,94.7800000000001,-3.059999999999988
2025-04-06 14:00:00,HT,5.5,2.2,93.92000000000012,94.7800000000001,-0.8599999999999852
2025-04-08 11:00:00,HT,5.5,2.2,96.12000000000012,96.12000000000012,0.0
2025-04-10 19:00:00,HT,5.5,2.2,98.32000000000012,98.32000000000012,0.0
2025-04-12 14:00:00,HT,5.5,2.2,100.52000000000012,100.52000000000012,0.0
2025-04-13 12:00:00,HT,5.5,2.2,102.72000000000013,102.72000000000013,0.0
2025-04-14 17:00:00,HT,5.5,-5.5,97.22000000000013,102.72000000000013,-5.5
2025-04-19 11:45:00,HT,1.2,0.48,97.70000000000013,102.72000000000013,-5.019999999999996
2025-04-19 13:00:00,HT,5.5,2.2,99.90000000000013,102.72000000000013,-2.819999999999993
2025-04-19 13:30:00,HT,5.5,2.2,102.10000000000014,102.72000000000013,-0.6199999999999903
2025-04-19 13:30:00,HT,5.5,-5.5,96.60000000000014,102.72000000000013,-6.11999999999999
2025-04-19 15:00:00,HT,5.5,2.2,98.80000000000014,102.72000000000013,-3.9199999999999875
2025-04-20 18:45:00,HT,1.2,0.48,99.28000000000014,102.72000000000013,-3.4399999999999835
2025-04-21 01:00:00,HT,1.2,-1.2,98.08000000000014,102.72000000000013,-4.639999999999986
