profit,max_dd,trades,winrate,ht_trades,o15_trades,o25_trades,score,calmar,params
850.3190000000001,-20.086000000001036,1562,0.765044814340589,416,380,766,838.2673999999995,42.33391416907081,"{'priority_dd_threshold': -7, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O15', 'O25', 'HT'), 'skip_o25_below_dd': -12, 'skip_o15_below_dd': -15, 'full_stop_dd': -20, 'full_stop_trades': 15}"
851.6310000000001,-23.718000000000075,1608,0.7661691542288557,458,370,780,837.4002,35.90652668859084,"{'priority_dd_threshold': -12, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O15', 'O25', 'HT'), 'skip_o25_below_dd': -15, 'skip_o15_below_dd': -15, 'full_stop_dd': -30, 'full_stop_trades': 15}"
850.456,-22.987000000001217,1597,0.7683155917345021,440,393,764,836.6637999999992,36.997259320483536,"{'priority_dd_threshold': -10, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O15', 'HT', 'O25'), 'skip_o25_below_dd': -18, 'skip_o15_below_dd': -20, 'full_stop_dd': -25, 'full_stop_trades': 5}"
847.969,-20.02599999999984,1501,0.770819453697535,421,344,736,835.9534000000001,42.34340357535238,"{'priority_dd_threshold': -15, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('HT', 'O15', 'O25'), 'skip_o25_below_dd': -18, 'skip_o15_below_dd': -12, 'full_stop_dd': -16, 'full_stop_trades': 5}"
847.8330000000001,-20.86599999999987,1547,0.7672915319974144,431,347,769,835.3134000000001,40.63227259656883,"{'priority_dd_threshold': -12, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('HT', 'O15', 'O25'), 'skip_o25_below_dd': None, 'skip_o15_below_dd': -12, 'full_stop_dd': -16, 'full_stop_trades': 5}"
846.015,-18.12600000000009,1530,0.7666666666666667,432,338,760,835.1393999999999,46.674114531611814,"{'priority_dd_threshold': -10, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('HT', 'O25', 'O15'), 'skip_o25_below_dd': -15, 'skip_o15_below_dd': -10, 'full_stop_dd': -16, 'full_stop_trades': 5}"
847.897,-21.425999999999817,1492,0.7707774798927614,414,344,734,835.0414000000002,39.573275459722176,"{'priority_dd_threshold': -15, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O25', 'O15', 'HT'), 'skip_o25_below_dd': -12, 'skip_o15_below_dd': -12, 'full_stop_dd': -20, 'full_stop_trades': 15}"
847.8670000000001,-21.95600000000013,1512,0.7718253968253969,423,355,734,834.6934,38.616642375660184,"{'priority_dd_threshold': -18, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O25', 'HT', 'O15'), 'skip_o25_below_dd': -10, 'skip_o15_below_dd': None, 'full_stop_dd': -20, 'full_stop_trades': 15}"
847.386,-21.545999999999935,1645,0.7598784194528876,412,420,813,834.4584,39.32915622389318,"{'priority_dd_threshold': -5, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O15', 'HT', 'O25'), 'skip_o25_below_dd': -12, 'skip_o15_below_dd': -20, 'full_stop_dd': -25, 'full_stop_trades': 10}"
847.9010000000001,-22.64200000000028,1530,0.769281045751634,420,359,751,834.3157999999999,37.44814945676131,"{'priority_dd_threshold': -12, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O15', 'O25', 'HT'), 'skip_o25_below_dd': None, 'skip_o15_below_dd': -20, 'full_stop_dd': -20, 'full_stop_trades': 10}"
848.509,-24.815999999999804,1581,0.7659709044908286,466,358,757,833.6194000000002,34.192013217279445,"{'priority_dd_threshold': -5, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('HT', 'O15', 'O25'), 'skip_o25_below_dd': -15, 'skip_o15_below_dd': -20, 'full_stop_dd': -25, 'full_stop_trades': 0}"
844.743,-19.787999999999784,1501,0.7694870086608927,418,345,738,832.8702000000002,42.68966040024304,"{'priority_dd_threshold': -12, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('HT', 'O15', 'O25'), 'skip_o25_below_dd': -18, 'skip_o15_below_dd': -12, 'full_stop_dd': -16, 'full_stop_trades': 15}"
850.139,-29.29999999999984,1575,0.766984126984127,466,350,759,832.5590000000001,29.014982935153743,"{'priority_dd_threshold': -18, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O15', 'HT', 'O25'), 'skip_o25_below_dd': -12, 'skip_o15_below_dd': -12, 'full_stop_dd': None, 'full_stop_trades': 5}"
844.3770000000001,-20.02599999999984,1498,0.7716955941255007,421,344,733,832.3614000000001,42.16403675222245,"{'priority_dd_threshold': -12, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O15', 'HT', 'O25'), 'skip_o25_below_dd': -10, 'skip_o15_below_dd': -12, 'full_stop_dd': -16, 'full_stop_trades': 5}"
845.4630000000001,-23.66399999999976,1571,0.7657542966263526,464,338,769,831.2646000000002,35.727814401623085,"{'priority_dd_threshold': -10, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O15', 'HT', 'O25'), 'skip_o25_below_dd': -18, 'skip_o15_below_dd': -10, 'full_stop_dd': -20, 'full_stop_trades': 0}"
845.009,-23.584000000001197,1648,0.7621359223300971,463,364,821,830.8585999999993,35.829757462684746,"{'priority_dd_threshold': -10, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('HT', 'O25', 'O15'), 'skip_o25_below_dd': None, 'skip_o15_below_dd': None, 'full_stop_dd': None, 'full_stop_trades': 5}"
846.1370000000001,-26.91600000000085,1559,0.7677998717126363,462,358,739,829.9873999999995,31.43620894635062,"{'priority_dd_threshold': -18, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('HT', 'O15', 'O25'), 'skip_o25_below_dd': -12, 'skip_o15_below_dd': -20, 'full_stop_dd': -30, 'full_stop_trades': 0}"
844.7850000000001,-25.199999999999818,1558,0.7670089858793325,457,339,762,829.6650000000002,33.52321428571453,"{'priority_dd_threshold': -18, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O15', 'HT', 'O25'), 'skip_o25_below_dd': -12, 'skip_o15_below_dd': -10, 'full_stop_dd': -25, 'full_stop_trades': 15}"
844.527,-24.815999999999804,1567,0.7651563497128271,464,338,765,829.6374000000002,34.031552224371644,"{'priority_dd_threshold': -15, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O25', 'HT', 'O15'), 'skip_o25_below_dd': -15, 'skip_o15_below_dd': -10, 'full_stop_dd': None, 'full_stop_trades': 10}"
844.883,-26.495999999999867,1550,0.7664516129032258,453,347,750,828.9854000000001,31.887190519323834,"{'priority_dd_threshold': -7, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O15', 'HT', 'O25'), 'skip_o25_below_dd': -15, 'skip_o15_below_dd': -12, 'full_stop_dd': None, 'full_stop_trades': 10}"
843.529,-24.815999999999804,1569,0.7660930528999362,465,347,757,828.6394000000001,33.991336234687566,"{'priority_dd_threshold': -18, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O25', 'HT', 'O15'), 'skip_o25_below_dd': -15, 'skip_o15_below_dd': -12, 'full_stop_dd': -30, 'full_stop_trades': 5}"
843.529,-24.815999999999804,1569,0.7660930528999362,465,347,757,828.6394000000001,33.991336234687566,"{'priority_dd_threshold': -12, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O15', 'HT', 'O25'), 'skip_o25_below_dd': -15, 'skip_o15_below_dd': -12, 'full_stop_dd': -30, 'full_stop_trades': 0}"
843.529,-24.815999999999804,1569,0.7660930528999362,465,347,757,828.6394000000001,33.991336234687566,"{'priority_dd_threshold': -15, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O25', 'O15', 'HT'), 'skip_o25_below_dd': -15, 'skip_o15_below_dd': -12, 'full_stop_dd': -30, 'full_stop_trades': 5}"
844.527,-26.646000000000413,1535,0.7680781758957654,454,346,735,828.5393999999998,31.694325602341326,"{'priority_dd_threshold': -18, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O15', 'HT', 'O25'), 'skip_o25_below_dd': -12, 'skip_o15_below_dd': -15, 'full_stop_dd': -25, 'full_stop_trades': 10}"
845.207,-27.84600000000046,1543,0.7679844458846403,462,346,735,828.4993999999997,30.35290526466947,"{'priority_dd_threshold': -15, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('HT', 'O15', 'O25'), 'skip_o25_below_dd': -12, 'skip_o15_below_dd': -15, 'full_stop_dd': -25, 'full_stop_trades': 0}"
846.794,-30.772000000000617,1525,0.7698360655737705,409,373,743,828.3307999999996,27.51832835044791,"{'priority_dd_threshold': -8, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O15', 'HT', 'O25'), 'skip_o25_below_dd': -18, 'skip_o15_below_dd': None, 'full_stop_dd': -20, 'full_stop_trades': 15}"
844.765,-27.420000000000073,1569,0.7673677501593371,464,343,762,828.313,30.80835156819831,"{'priority_dd_threshold': -10, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('HT', 'O25', 'O15'), 'skip_o25_below_dd': -12, 'skip_o15_below_dd': -15, 'full_stop_dd': -30, 'full_stop_trades': 0}"
847.677,-32.79600000000016,1613,0.759454432734036,430,355,828,827.9993999999999,25.846963044273565,"{'priority_dd_threshold': -18, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O15', 'O25', 'HT'), 'skip_o25_below_dd': None, 'skip_o15_below_dd': -20, 'full_stop_dd': -25, 'full_stop_trades': 0}"
839.1850000000001,-18.71000000000015,1557,0.7546563904945408,380,298,879,827.959,44.85221806520541,"{'priority_dd_threshold': -5, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('O25', 'HT', 'O15'), 'skip_o25_below_dd': -15, 'skip_o15_below_dd': -15, 'full_stop_dd': None, 'full_stop_trades': 0}"
844.4150000000001,-27.763999999999783,1574,0.7674714104193139,466,348,760,827.7566000000002,30.414025356577103,"{'priority_dd_threshold': -12, 'priority_normal': ('HT', 'O15', 'O25'), 'priority_crisis': ('HT', 'O25', 'O15'), 'skip_o25_below_dd': -18, 'skip_o15_below_dd': -12, 'full_stop_dd': -16, 'full_stop_trades': 0}"
